Web Series,Positive,Negative,Neutral,Analysis,Status,EncodedStatus,numVotes,averageRating,rotten_Tomatoes
Pororo - The Little Penguin,7,7,10,Go and Watch,Positive,1,3849,7.8,8.1
Q-Force,20,23,57,You Decide,Neutral,2,2840,4.8,7.5
Shikara,40,27,33,Go and Watch,Positive,1,2027,6.8,7.4
A Cinderella Story,37,10,53,You Decide,Neutral,2,5244,7.7,8.7
Agatha Christie's Crooked House,0,0,0,Go and Watch,Positive,1,50123,8.4,8.7
An Unfinished Life,20,47,33,Do not Watch,Negative,0,3337,7.1,7.5
Barbie Big City Big Dreams,93,3,3,Go and Watch,Positive,1,4234,7.7,7.3
Blade Runner: The Final Cut,23,60,17,Do not Watch,Negative,0,3312,7.5,8.5
Brave Animated Series,53,7,10,Do not Watch,Negative,0,7826,7.9,7.1
Chappie,43,27,30,Go and Watch,Positive,1,5097,7.3,6.8
Clear and Present Danger,27,63,10,Do not Watch,Negative,0,5699,7.6,9
Cliffhanger,43,20,37,Go and Watch,Positive,1,1275,7.8,6.6
Cold Mountain,57,17,27,Go and Watch,Positive,1,1516,8.1,7.8
Crocodile Dundee in Los Angeles,0,0,7,You Decide,Neutral,2,2163,6.8,7.5
Dear John,80,7,13,Go and Watch,Positive,1,2983,7.9,7.8
Do the Right Thing,57,30,13,Go and Watch,Positive,1,6608,7.1,7.9
"El patrón, radiografía de un crimen",3,0,47,You Decide,Neutral,2,2616,7,6.3
Extraction,43,27,30,Go and Watch,Positive,1,1165,7.2,5
Freedom Writers,73,13,13,Go and Watch,Positive,1,1707,8.3,8
Green Lantern,50,10,40,Go and Watch,Positive,1,3329,8.1,6.1
House Party,67,27,7,You Decide,Neutral,2,3954,8.9,7.6
House Party 2,47,33,20,Go and Watch,Positive,1,3222,7.5,8.2
House Party 3,47,27,27,Go and Watch,Positive,1,5929,7.4,6.9
How to Be a Cowboy,50,27,23,Go and Watch,Positive,1,2000,7.3,8
HQ Barbers,0,0,0,Go and Watch,Positive,1,1058,7.6,7.2
I Got the Hook Up,53,13,33,Go and Watch,Positive,1,5609,5.1,6.6
In Too Deep,40,27,33,Go and Watch,Positive,1,14662,8.4,8.6
Initial D,23,27,50,You Decide,Neutral,2,5376,7.8,8.5
Janoskians: Untold and Untrue,0,0,0,Go and Watch,Positive,1,4672,7.5,7.5
Kid-E-Cats,0,0,13,You Decide,Neutral,2,1435,6.5,7.8
Kuroko's Basketball,23,23,53,You Decide,Neutral,2,5880,7.3,8.1
Labyrinth,27,17,57,You Decide,Neutral,2,16235,7.4,7.2
Letters to Juliet,7,3,90,You Decide,Neutral,2,3169,6.9,8.1
Level 16,37,17,47,You Decide,Neutral,2,4232,8.5,7
Love Don't Cost a Thing,90,10,0,Go and Watch,Positive,1,2499,7.1,7.3
Love in a Puff,83,10,7,Go and Watch,Positive,1,18016,7.4,9
Major Dad,53,23,23,Go and Watch,Positive,1,1496,8.6,7.2
Mars Attacks!,3,90,7,Do not Watch,Negative,0,4176,7.2,7.2
Marshall,43,13,43,Go and Watch,Positive,1,1610,6.5,6.8
My Boss's Daughter,50,17,33,Go and Watch,Positive,1,5442,8.2,7.9
Mystery Men,40,43,17,Do not Watch,Negative,0,2155,6.8,6.2
Oldsters,23,33,43,You Decide,Neutral,2,2256,7.7,8.8
Once Upon a Time in America,23,10,67,You Decide,Neutral,2,6918,8.1,7.4
Open Season 2,43,20,37,Go and Watch,Positive,1,1239,6.7,8
Osmosis Jones,27,10,63,You Decide,Neutral,2,9480,7.1,7.2
Poseidon,40,17,43,You Decide,Neutral,2,1850,8,7.4
Rhyme & Reason,17,50,33,Do not Watch,Negative,0,22112,9.2,6.8
Same Kind of Different as Me,67,7,27,Do not Watch,Negative,0,2082,6.7,5.5
School of Rock,47,10,43,Go and Watch,Positive,1,4807,8.2,6.1
Snervous Tyler Oakley,0,0,0,Go and Watch,Positive,1,1136,8.4,6.7
Tears of the Sun,47,47,7,You Decide,Neutral,2,84746,8.7,8.6
The Blue Lagoon,37,13,50,You Decide,Neutral,2,1319,4.5,6.8
The Golden Child,27,23,50,You Decide,Neutral,2,7733,7.4,4
The Guns of Navarone,20,13,67,You Decide,Neutral,2,3722,6.5,8.5
The Interview,43,23,33,Go and Watch,Positive,1,1534,6.6,7.8
The Nutty Professor,27,27,47,You Decide,Neutral,2,42931,8.1,2.8
The Nutty Professor II: The Klumps,7,10,10,Go and Watch,Positive,1,7262,7.3,7.7
Turning Point: 9/11 and the War on Terror,0,17,0,Do not Watch,Negative,0,7806,7,7
Welcome Home Roscoe Jenkins,90,7,0,Go and Watch,Positive,1,1104,8.1,7.9
In the Line of Fire,40,53,7,You Decide,Neutral,2,5519,7,7
Sparking Joy,83,17,0,Go and Watch,Positive,1,2640,6.7,6.1
Untold: Crime & Penalties,3,17,3,Go and Watch,Positive,1,11129,8.1,6.6
Hometown Cha-Cha-Cha,20,20,60,You Decide,Neutral,2,3923,6.8,7
The Ingenuity of the Househusband,0,0,3,You Decide,Neutral,2,2349,7.6,8.4
2 Alone in Paris,7,10,3,Go and Watch,Positive,1,6228,6.7,6.6
Bread Barbershop,7,7,10,Go and Watch,Positive,1,10763,6.5,7.9
Thimmarusu,17,0,3,You Decide,Neutral,2,1646,7.9,7.3
Wind River,40,23,37,Go and Watch,Positive,1,1887,7.1,7.8
C Kkompany,0,0,0,Go and Watch,Positive,1,1206,7.5,8.9
D.P.,20,17,63,You Decide,Neutral,2,1279,7.1,4.7
Deadly Sins,20,70,10,Do not Watch,Negative,0,15723,8.7,7
EMI: Liya Hai To Chukana Padega,0,0,0,Go and Watch,Positive,1,6436,6.9,7.7
He's All That,53,23,23,Go and Watch,Positive,1,1066,7.6,7.7
I Heart Arlo,13,13,27,You Decide,Neutral,2,22307,8.4,7.8
King of Boys: The Return of the King,3,7,10,Do not Watch,Negative,0,2037,7.2,8
Koi Aap Sa,17,10,73,You Decide,Neutral,2,4748,7.6,7.1
Krishna Cottage,3,3,17,Go and Watch,Positive,1,1240,8.6,6.6
Kucch To Hai,7,7,87,You Decide,Neutral,2,5266,7.3,8.2
Kyaa Kool Hai Hum,0,0,0,Go and Watch,Positive,1,2704,8.2,7.2
Kyaa Kool Hain Hum 3,0,0,0,Go and Watch,Positive,1,1232,7.5,4.5
Kyaa Super Kool Hain Hum,0,3,0,Do not Watch,Negative,0,2973,7.6,7.4
Kyo Kii... Main Jhuth Nahin Bolta,0,0,0,Go and Watch,Positive,1,4544,7.4,7.7
"LSD: Love, Sex Aur Dhokha",0,0,0,Go and Watch,Positive,1,3061,6.9,8.8
Mission Istaanbul: Darr Ke Aagey Jeet Hai,0,0,0,Go and Watch,Positive,1,7095,7.1,6
Once Upon a Time in Mumbaai,3,3,3,Go and Watch,Positive,1,1060,8.5,7.8
Once Upon a Time in Mumbai Dobaara!,0,0,0,Go and Watch,Positive,1,3331,7.4,7.1
Ragini MMS,17,0,43,You Decide,Neutral,2,6442,8,7.4
Ragini MMS 2,7,0,13,Go and Watch,Positive,1,4500,8.3,7.6
Rebellion,47,40,13,Go and Watch,Positive,1,2494,8.3,8.1
RIDE ON TIME,67,3,30,Go and Watch,Positive,1,1546,7.2,6.2
SAS: Rise of the Black Swan,10,7,7,Do not Watch,Negative,0,8106,6.4,6.8
Shootout at Lokhandwala,30,0,33,You Decide,Neutral,2,2556,6.5,8.8
Shor In the City,3,0,13,Go and Watch,Positive,1,2889,8,7.5
The Dirty Picture,30,60,10,Do not Watch,Negative,0,1196,7,7.1
Titletown High,10,3,3,Do not Watch,Negative,0,1351,7.5,9.1
EDENS ZERO,20,23,57,You Decide,Neutral,2,19877,8.5,6.1
Family Reunion,20,10,70,You Decide,Neutral,2,1299,7.6,7.4
"Bob Ross: Happy Accidents, Betrayal & Greed",0,13,0,Do not Watch,Negative,0,2187,7.2,6.3
Clickbait,40,17,43,You Decide,Neutral,2,1693,7.2,7.3
John of God: The Crimes of a Spiritual Healer,0,0,0,Go and Watch,Positive,1,9026,6.1,7
Motel Makeover,17,3,17,Do not Watch,Negative,0,2066,6.5,5.9
Open Your Eyes,43,27,30,Go and Watch,Positive,1,7722,8.7,6.4
Post Mortem: No One Dies in Skarnes,0,3,3,Do not Watch,Negative,0,1034,7.1,9
Really Love,87,3,10,Go and Watch,Positive,1,2657,8,7
The November Man,33,30,37,You Decide,Neutral,2,1273,8,8.3
The Old Ways,60,30,10,Go and Watch,Positive,1,15994,8.4,6.4
The River Runner,43,20,37,Go and Watch,Positive,1,2097,8.5,7.8
The Water Man,27,37,37,Do not Watch,Negative,0,1122,8.6,8.7
Wheel of Fortune,40,17,43,You Decide,Neutral,2,5878,8.1,8.1
Count Me In,43,3,53,You Decide,Neutral,2,1632,7.7,7.7
Oggy Oggy,23,20,57,You Decide,Neutral,2,12278,7.5,7.1
Untold: Caitlyn Jenner,3,0,10,Go and Watch,Positive,1,1971,6.3,7.8
Boomika,3,0,23,Go and Watch,Positive,1,1745,7.6,7.7
Boomika (Hindi),0,0,0,Go and Watch,Positive,1,13813,7.2,7.2
Boomika (Malayalam),0,0,0,Go and Watch,Positive,1,3255,8,7.2
Boomika (Telugu),0,0,0,Go and Watch,Positive,1,2821,8.3,7.4
The Witcher: Nightmare of the Wolf,13,7,30,Do not Watch,Negative,0,1472,7.7,7.5
Manifest,33,20,47,You Decide,Neutral,2,3218,7.9,7.4
Comedy Premium League,0,0,0,Go and Watch,Positive,1,12018,7,7.1
Everything Will Be Fine,83,10,7,Go and Watch,Positive,1,9598,6.7,7.1
Gunshot,10,60,30,Do not Watch,Negative,0,1041,8.3,7.8
Korean Cold Noodle Rhapsody,0,0,0,Go and Watch,Positive,1,6803,6.5,7.1
Man in Love,67,10,23,Go and Watch,Positive,1,3653,8.7,7.4
Sweet Girl,90,7,3,Go and Watch,Positive,1,1055,7,7.5
The Chair,33,27,40,You Decide,Neutral,2,4535,8,8.6
The Loud House Movie,13,57,30,Do not Watch,Negative,0,1827,8.2,6.9
A Faraway Land,40,23,37,Go and Watch,Positive,1,11823,7,5.8
Like Crazy,57,43,0,Go and Watch,Positive,1,4095,9.2,9.3
Black Island,33,13,53,You Decide,Neutral,2,9783,7.2,7.2
Bombay,27,10,63,You Decide,Neutral,2,1048,8.4,6.9
Go! Go! Cory Carson,10,0,10,Go and Watch,Positive,1,1718,8.2,8.3
Memories of a Murderer: The Nilsen Tapes,0,20,0,Do not Watch,Negative,0,11549,7.6,7.4
Nneka The Pretty Serpent,73,27,0,Go and Watch,Positive,1,1508,6.7,8
O Kadhal Kanmani,7,7,20,Go and Watch,Positive,1,7975,7.9,8.1
Out of my league,57,23,20,Go and Watch,Positive,1,1093,8,7.1
Pahuna,0,3,13,Do not Watch,Negative,0,1051,7.7,6.8
The Defeated,17,83,0,Do not Watch,Negative,0,1502,7.7,7.2
The Secret Diary of an Exchange Student,0,0,0,Go and Watch,Positive,1,1334,6.5,7.3
Untold: Deal With the Devil,3,0,0,Go and Watch,Positive,1,2779,7.1,7.7
Mother Goose Club,7,7,13,Go and Watch,Positive,1,1694,8.3,6.3
Walk of Shame,17,73,10,Do not Watch,Negative,0,7724,6.9,5.7
Rascal Does Not Dream of Bunny Girl Senpai,23,70,7,Do not Watch,Negative,0,1059,9.3,6.6
The Creative Indians,23,7,7,Do not Watch,Negative,0,11435,7.1,6.3
The Piano,50,20,30,Go and Watch,Positive,1,5983,6.8,7.4
Unroyal,23,30,47,You Decide,Neutral,2,6343,6.6,7.5
Winx Club,30,23,47,You Decide,Neutral,2,2304,6.7,6.4
Beckett,33,23,43,You Decide,Neutral,2,1022,7.9,7.3
Brand New Cherry Flavor,10,30,60,You Decide,Neutral,2,4179,8.8,5.8
Fast & Furious Spy Racers,3,43,0,Do not Watch,Negative,0,1930,7.7,6.1
Gone for Good,83,10,7,Go and Watch,Positive,1,1458,8.4,7.2
Grace and Frankie,93,3,3,Go and Watch,Positive,1,2183,7.3,6.3
The Kingdom,50,17,33,Go and Watch,Positive,1,1753,7.6,6.7
Valeria,3,10,87,You Decide,Neutral,2,2359,7.8,6.1
AlRawabi School for Girls,17,27,57,You Decide,Neutral,2,1137,8.3,6.4
Lokillo: Nothing's the Same,0,0,0,Go and Watch,Positive,1,1388,8,6.5
Monster Hunter: Legends of the Guild,7,0,0,Go and Watch,Positive,1,1185,8.4,6.2
Bake Squad,23,13,50,You Decide,Neutral,2,1947,7.4,6.7
Brother Jekwu,0,0,3,You Decide,Neutral,2,1624,6.6,6.9
La diosa del asfalto,3,3,13,Go and Watch,Positive,1,1848,8.1,8.4
Misha and the Wolves,10,7,10,Do not Watch,Negative,0,1622,7.7,5.7
The Kissing Booth 3,87,7,7,Go and Watch,Positive,1,20733,6.8,7.9
The Railway Man,27,43,30,Do not Watch,Negative,0,3482,8.6,6.1
Gabby's Dollhouse,57,3,40,Go and Watch,Positive,1,4037,8.6,8
